ID,Name,Company,Category,Subcategory,Input Type,Output Type,Task Description,Cost,Ease of Use,Integration,Languages,Rating,Popularity,Accuracy ,Speed ,Training Domain,Link,
1,ChatGPT,OpenAI,Text,"Conversation, Summarization, Q&A, Translation, Content Generation", Text,Text,"Conversational AI, text-based reasoning, summarization, translation, creative writing",Freemium,Beginner,"API, Web",Multilingual,4.8,High,85–90%,Fast,General,https://chatgpt.com/,
2,Claude,Anthropic, Text,"Q&A, Summarization, Code Completion, Data Analysis, Sentiment Analysis",Text,Text,"Generate human-like responses, answer questions, summarize information, write code, and perform complex reasoning tasks using natural language processing. Constitutional AI focuses on ethical and non-biased responses.",Freemium,Beginner,"API, Web, Desktop App, Mobile App",Multilingual,4.63,High,62-98%,Fast,General,https://claude.ai/,
3,Dora,Dora.Run,Automation,"Text-to-Website Generation, Code Generation / Completion, Workflow Automation, Image/Layout Generation, Recommendation System (Design Suggestions)",Text,"Website, Webpage Layouts & UI Designs","Creates custom website designs, not just templates according to the given prompt. It provides editing options allowing users to refine text, images and layout visually. ",Freemium,"Beginner, Intermediate","Web, Plugin (Figma)",English,4.45,Medium,88-90%,"Medium, Fast","Web design (layouts, UI, responsive, 3D animated web)",Dora,
4,Perplexity,Perplexity AI,"           Search, Web","Q&A, Research Assistant, Summarization","Text, Voice","Text, Links","AI-powered search engine with conversational Q&A, real-time web browsing, and fact-checked citations.",Freemium,Beginner,"Web, Mobile App",Multilingual,4.6,High,80–92%,Fast,"Search, Chat",https://www.perplexity.ai,
5,ChatPDF,ChatPDF,Text,"Document Summarization, Q&A, Text Generation","Files, Text",Text,"A Conversational AI designed for summarising, understanding analyzing and answering questions on the Document provided.",Freemium,"Beginner, Intermediate","API, Web",Multilingual,4.8,High,85-90%,Fast,"Text Documents (PDFs, Research Papers, Reports)",https://www.chatpdf.com/,
6,Paperpal,Cactus Communications,Text,"Academic Writing Assistant, Grammar & Proofreading, Citation and Research Support","Text (Academic Writing, Drafts, PDFs via chat)",Text,"Writing assistant AI designed to improve Grammar, Style, Paraphrasing, Summarization. Helps in citation generation and Plagarism checking for submission readiness.",Freemium,Beginner,"Web, Plugin (Word, Docs, Overleaf)",Multilingual,4.4,High,90%,Fast,Academic & Scholarly Texts,https://paperpal.com/,
7,Jasper AI,Jasper,"Text, Marketing","Copywriting, Blog Writing, Ads, SEO Content",Text,Text,"AI for businesses & marketers to generate blogs, ads, social media posts, and brand-specific content.",Paid,"Beginner, Intermediate","Web, API",English,4.4,Medium,82-90%,"Medium, Fast","Marketing, Content",https://www.jasper.ai,
8,Replit AI,Replit,Coding,"Code Completion, Debugging, App Generation","Code, Text",Code,"In-IDE coding AI assistant that helps write, debug, and generate applications.",Freemium,"Begineer, Developer",Replit IDE,English,4.2,Medium,76-85%,Medium,Programming,https://replit.com/ai,
9,Midjourney,Midjourney,Image Gen,Art & Design Generation,Text,Image,"AI art generator creating high-quality, artistic images from text prompts; strong focus on creativity and style.",Paid,Intermediate,Discord,English,4.7,High,85-95%,Medium,Creative Design,https://www.midjourney.com,
10,Flow,Google Labs / DeepMind,"Automation, Image & Video","AI Filmmaking, Video Generetion ","Text, Images",Video Clips,"AI filmaking tool designed for creatives to generate short cinematic video clips using text prompt or images. Leveraging models like Veo (video), Imagen (image), and Gemini (text), it enables scene building, asset management, camera controls, audiovideo generation, and iterative filmmaking workflows",Freemium,Beginner,Web (via Google Labs),English,Not Available,Medium,68-81%,"Medium, Fast",Video & Cinematic Media,https://labs.google/flow/about,
11,Grok ,xAI,"Text, Image","Conversational AI, Chatbot, Large Language Model (LLM)","Text, Image, Documents, Diagrams","Text, Code","An AI research assistant that provides real-time updates on current events by analyzing live data from the X platform. It's also able to understand images and documents and is known for its witty, less-restricted personality, which allows it to handle a wider variety of queries.",Freemium,Beginner,"Web,API,SDK,Mobile App",Multilingual,4.5,High,90.6,Fast,General,https://grok.com,
